Posição;titulo;preco_pix;tipo_pg_promo
1;Apple iPhone 13 128GB - Estelar;R$ 3.699,00;No Pix
2;Apple iPhone 13 128GB - Meia-noite;R$ 3.699,00;No Pix
3;Apple iPhone 15 128GB - Preto;R$ 4.679,10;No Pix
4;Apple iPhone 15 Pro Max 256GB - Titânio Natural;R$ 8.639,10;No Pix
5;Apple iPhone 14 128GB - Estelar;R$ 4.199,00;No Pix
6;Apple iPhone 13 256GB - Rosa;R$ 4.399,00;No Pix
7;Apple iPhone 14 Pro 512GB - Roxo Profundo;R$ 8.599,00;No Pix
8;Apple iPhone 15 128GB - Rosa;R$ 4.549,90;No Pix
9;Apple iPhone 14 Pro Max 512GB Prateado;R$ 9.515,90;No Pix
10;Apple iPhone 15 128GB - Azul;R$ 4.679,10;No Pix
11;Apple iPhone 14 128GB - Meia-noite;R$ 4.199,00;No Pix
12;Apple iPhone 14 Pro Max 512GB Preto Espacial;R$ 9.516,00;No Pix
13;Apple iPhone 16 128GB - Preto;R$ 6.199,00;No Pix
14;Apple iPhone 16 128GB - Branco;R$ 6.199,00;No Pix
15;Apple iPhone 16 Plus 256GB - Rosa;R$ 8.699,00;No Pix
16;Apple iPhone 14 Pro 1TB Roxo-profundo;R$ 8.799,00;No Pix
17;Apple iPhone 12 256GB - Branco;R$ 4.742,01;No Pix
18;Apple iPhone 14 Pro 512GB Preto-espacial;R$ 8.599,00;No Pix
19;Apple iPhone 14 Pro 512GB Dourado;R$ 8.599,00;No Pix
20;Apple iPhone 15 256GB - Preto;R$ 5.399,00;No Pix
